"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GMEB1",65.9825863972159,-3.20463755791246,0.904755306891107,-3.54199365674255,0.000397115023672535,0.00211627815518574
"DISP3",19.3176842577376,3.23304993255717,0.585776205764122,5.51925786801084,3.40434318619211e-08,4.30738344108119e-07
"MEGF6",11.4449052775847,3.37761452971405,0.71334302084153,4.7349093367865,2.19153042262879e-06,1.9837302264897e-05
"NTNG1",1.88332026557986,4.27996941239345,1.27903522992388,3.34624825982953,0.000819130208485589,0.0039453152121197
"SPATA18",9.68145503147758,5.12522051402489,0.856203690534627,5.98598274065441,2.15087176785791e-09,3.30999262915392e-08
"MERTK",8.88389798604122,5.60448627474975,1.36560359695128,4.10403596421524,4.06004306361419e-05,0.000277312392133252
"EIF5A2",4.21855271036598,4.50127341986002,0.986136465431312,4.56455427585397,5.0055669101677e-06,4.21579289981421e-05
"ARHGEF3",25.2300271657024,5.83265243962761,0.994213059115062,5.86660211928737,4.4481635157201e-09,6.49074515549686e-08
"FBXW12",7.46599623543948,4.27699465697117,1.00925052079764,4.23779286592881,2.25727872146576e-05,0.000164083599110655
"ANKRD33B",53.1579602384478,3.05383020095727,0.451858231023919,6.75838126050561,1.3954193917937e-11,2.88226467166345e-10
"MAP1B",14.0525691865627,4.79089077878566,0.720121164994159,6.65289538993694,2.87382464313955e-11,5.69975220889344e-10
"TBXT",36.413390112127,6.49224264100322,0.741445587973648,8.75619566197211,2.01951021887543e-18,8.90649171289342e-17
"SHH",10.4285868690919,4.08613035115006,0.670537348306035,6.09381470170569,1.10251272721917e-09,1.77585597275769e-08
"FNDC1",10.0036817671431,6.64726390184313,1.39462338856691,4.76635051178495,1.87592795806343e-06,1.72520383298519e-05
"MICALL2",6.78375719508537,6.19357405612773,1.01948190367863,6.07521725866762,1.23819966033047e-09,1.97774941750593e-08
"DEPP1",248.543337126966,6.20057092632766,0.828978701067343,7.47977109465439,7.44521778229803e-14,2.015172279742e-12
"NGB",4.33954665916279,5.21544788496499,1.10380952120103,4.7249527973723,2.30168813581391e-06,2.07935229232822e-05
"SSX3",3.84923094311751,4.26336266091094,1.17828847981413,3.61826728678826,0.000296582012092876,0.00162978427345942
"ARHGEF40",10.5082383294298,4.43486743727961,1.16017660651074,3.82257960761472,0.000132062822602606,0.000791502562896493
"GAS1",3.05107457671304,4.02976516493109,1.12641592162986,3.57751083551824,0.000346881843964418,0.00187264645056114
"A2ML1",5.80319836291782,3.16790251928255,0.9488530501226,3.33866505342764,0.000841820023962023,0.00403489014262909
"RBPMS2",30.9793150247525,3.83856904297839,0.685996437529283,5.59561075390356,2.19846448127156e-08,2.87110725633611e-07
"MAP1A",365.933626185404,3.69426642767837,0.49520069816367,7.46013978045195,8.64307380098713e-14,2.31218974319431e-12
"NAT16",5.91749625701677,4.38591408982975,0.86565270887699,5.06659777628327,4.0498877090586e-07,4.19704579097935e-06
"ZFP28",2.66265896826563,4.7304607842549,1.26427055450491,3.74165226533126,0.000182814359259093,0.00106479722160866
"TRPV3",10.596962675943,6.65804886284487,1.47041987138672,4.5279916249811,5.95469411949361e-06,4.92797347874639e-05
"ZNF560",3.24345775601711,4.48874937556432,1.05766837637925,4.24400452524713,2.19565920738787e-05,0.000160110299518131
"CTTN",83.0558959133806,3.22364423172988,0.367258413089616,8.77759124593087,1.67012995707145e-18,7.46099479851594e-17
"LTBP3",21.002775656869,3.35685807717214,0.447531169666032,7.50083637677613,6.3411906160388e-14,1.74023449828628e-12
"SCARA3",4.14416280716809,3.68715144385763,0.998931441036803,3.69109559714197,0.000223290190226029,0.00127105063335262
"ALKBH3",8.95352285129425,6.3167188060466,1.31617529504834,4.79929902180287,1.59221922560632e-06,1.48306303578068e-05
"AURKC",18.7144338876354,5.54463340792765,1.07517281921221,5.15696947397746,2.50978699920022e-07,2.69611671104746e-06
"INSR",25.6511944656469,6.03434116974713,1.01757961608422,5.93009242163089,3.02764215993599e-09,4.54277960606048e-08
"SPMIP9",27.0914601180358,6.65537051065801,0.775914584528465,8.5774525229508,9.69973958988427e-18,4.02087703599887e-16
"MRC2",13.6778176235036,3.64762677817634,0.994684822097888,3.66711816360396,0.00024529945726784,0.00137758897808188
"PTCRA",5.19361149045804,3.97424405206747,1.29145227611806,3.07734488185158,0.00208853507002946,0.0088604304936524
"S1PR1",12.8103740295019,5.73283848931157,1.33806438811468,4.28442647471478,1.83211182773636e-05,0.000135824230236695
"KLF11",27.4114126148447,3.40845666781961,0.852659304576452,3.99744264740384,6.40304980600963e-05,0.000417316806053621
"MT1E",3.2507670811413,3.73535936527168,1.1026796777547,3.38752898110691,0.000705252658351712,0.00347441388147289
"KCNS1",4.98227705724358,5.30938186118192,1.45100572347673,3.65910469909118,0.000253097928082264,0.00141677364121962
"ZIK1",4.57328872411624,5.40799704264948,1.45371587258563,3.72011969094801,0.000199128386143388,0.0011486703896044
"CSPG4",9.48533355957385,4.71952216830446,0.800938005383069,5.89249372184209,3.80410553544486e-09,5.5863694480086e-08
"SNX33",12.7289169965518,3.86825756824785,0.547653943161948,7.06332459858499,1.62565368462723e-12,3.80761638959142e-11
"SEZ6L2",3.06305697838477,5.06434846684253,1.13169357902649,4.47501740815654,7.64050873208427e-06,6.18952949164855e-05
"RHOD",11.628941170589,3.94159037961989,0.667180189307481,5.90783485899241,3.46633234928973e-09,5.12853716501558e-08
"CHST2",3.32067697495346,5.1404007697278,1.11033505724732,4.62959422579308,3.66382979842065e-06,3.18485557540294e-05
"MAL",4.34032603578699,4.34160118156246,1.28558310248897,3.37714549386721,0.0007324229732071,0.00358396551653698
"SNCB",77.6268926891384,-4.33442593135721,0.992712572247968,-4.36624462359938,1.26400914209598e-05,9.72054718523283e-05
"TFDP3",9.29359903531005,6.48276585588638,0.973710531978239,6.65779576473891,2.77964657768723e-11,5.52885322167069e-10
"SNED1",20.9089600706974,4.23528353098914,1.20913491910091,3.50273858118201,0.000460501173567537,0.00240604019679269
"NEFH",12.7737741275249,6.24969793401041,0.891080991300457,7.01361379608099,2.32239906186828e-12,5.29890853719501e-11
"KRT17",7.83666300133056,4.57891053340297,1.45483178159705,3.1473814301585,0.00164739905065901,0.00721239977649761
"CD7",64.6007216886859,5.7599408230185,0.494072466591064,11.6580890709417,2.0867310995542e-31,2.57189608020055e-29
"TUBA3E",18.4688121785155,7.58539610377611,0.878735559336016,8.63217155967574,6.01980022082972e-18,2.54120251523956e-16
"UTS2R",60.3432234221908,3.09446046912991,0.239207345217418,12.9363104060091,2.80794185656881e-38,5.53726134115369e-36
"H2BC4",22.3473732288163,3.79892109680438,0.669632287526174,5.67314504926091,1.40199422606344e-08,1.90483546226178e-07
"MKRN3",9.97093480588824,6.6101778655085,0.931328440983915,7.09757973086819,1.26960564868323e-12,3.00096513260673e-11
"YES1",7.17201398860504,4.8886467512362,1.46959486119719,3.32652684104633,0.000879355503917542,0.00419006675045832
"TDRD6",30.2887630097237,4.08435747746631,0.893322548901872,4.57209714731489,4.82866960907701e-06,4.08675384939909e-05
"MAB21L2",10.9753762573893,6.66121921839978,0.946727035965996,7.03605048270643,1.97765311210821e-12,4.57278451583614e-11
"TUBB6",33.8369452917717,4.16258176739277,0.592796250309869,7.0219434843201,2.18803046391973e-12,5.03392875399134e-11
"TSPYL6",22.1013688769899,5.1049756002743,0.762769681677673,6.69268289353893,2.19115626494627e-11,4.41557971990047e-10
"APOL1",8.64724017859237,-6.54583719800125,1.96254093374327,-3.33538887543914,0.000851801904209704,0.00407565805397253
"ZDHHC22",2.09378942069923,4.16085926305773,1.28853260041098,3.22914551151489,0.00124160702742692,0.00564716421963796
"AGPAT4",15.5065075046394,5.37020973650886,1.33855337862652,4.01195038035704,6.02191592245902e-05,0.000394525521564425
"PLXNA4",2.07357208208274,3.91554100353106,1.20963022358698,3.2369735206517,0.00120804620590375,0.00552181120076006
"TUBA3D",174.23773112962,4.79227620659097,0.309533507362809,15.4822534316903,4.5717421308592e-54,2.25386887051359e-51
"PRR18",8.90385604556337,5.62109591047587,0.905481824415672,6.20785062593972,5.3714168786787e-10,9.05336246560204e-09
"DUOXA2",26.2418314300936,-5.98839369931919,1.05969592032981,-5.65104912120016,1.5947150768869e-08,2.13930485144283e-07
"HSF5",2.73871012895293,3.28889922900322,1.05207784974428,3.12609872910321,0.00177142070231209,0.00768227815730946
"MTSS1",18.0501498453876,7.61802252370892,1.40424071230729,5.42501186366536,5.79506908774503e-08,7.0604707579199e-07
"SOX2",67.8936888916572,3.58238041835091,0.321907587039628,11.1285988978877,9.10554571429447e-29,9.38007112239708e-27
"FAXDC2",5.05331443095703,3.23835275913916,1.00918121225197,3.20889124750236,0.00133247881825825,0.00599528605190248
"FGFR1",5.70799883612311,4.57327630266328,1.45612689743249,3.14071274332416,0.0016853725037337,0.00735532154332596
"GDNF",33.0472718501953,8.38728896768592,0.878371756552166,9.54867788623825,1.31361932904579e-21,8.05920054139915e-20
