"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGLYRP1",3.88804573702411,0.88961393144821,0.800750549416656,1.11097511215733,0.266579062126546,0.443036043052594
"STARD3NL",83.6306259676388,-0.114478052861864,0.20237276808201,-0.565679137301085,0.57161192001071,0.726167029617876
"CD9",755.011528308981,0.965910027614459,0.103872880006327,9.2989626123356,1.41822617939999e-20,7.67733105115194e-19
"CD74",187.937491726489,-0.218770994593875,0.184625755994504,-1.18494298596339,0.236039989971215,0.407083460964849
"RPS20",21910.7517617156,-0.281466883104959,0.0399446271018788,-7.04642660418576,1.83570881315131e-12,4.26601421830652e-11
"DYRK4",1.94441701089114,0.708334714963624,2.14169544291488,0.330735500842066,0.740844284175844,0.850658334616815
"FAM76A",0.997137722089914,3.30248314652319,3.03615682422316,1.08771823648081,0.276719514484688,0.453716139440151
"SYPL1",32.3214684863191,1.76391005375963,0.41901708528647,4.20963754390515,2.55780691658913e-05,0.000182848092576884
"RANBP9",1141.16841168324,0.193605425395726,0.0812544705701097,2.38270490272501,0.0171859647230601,0.053929315080046
"CD4",4.96118857820597,1.364568207281,0.612459653841174,2.22801322294916,0.0258796332491621,0.0757190456488839
"SS18L2",4.48648928493052,1.09793942942624,0.666399423532033,1.64756959663465,0.0994410236504046,0.219173541508891
"VPS13D",182.928739305666,-0.158939083351367,0.334568824462499,-0.475056465905662,0.634746726914967,0.774716517978268
"TSPAN9",76.5612850989988,0.0894805791369556,0.994862778615848,0.0899426343615446,0.928332801106241,0.962137246525306
"QPCTL",608.659333112458,-0.27178867850708,0.0776377563679034,-3.50072814081786,0.000463988904429558,0.00242151335982821
"HIVEP2",182.219278792789,0.141154445500157,0.469200586062715,0.300840300914053,0.763536275420868,0.865659891778298
"PPP5C",1848.44335214959,-0.393601383869846,0.0674158790149507,-5.838407651446,5.27020809823863e-09,7.63378306275824e-08
"UBR7",1578.72418810198,0.0934162190400373,0.0516283431348614,1.80939796568755,0.0703891989907746,0.167786652196279
"MAP4K5",984.965804250634,0.340815919692442,0.0522851890004577,6.51840274861507,7.10599849199862e-11,1.3492600162799e-09
