SRR23199438	SRR23199439	SRR23199440	SRR23199441	SRR23199442	SRR23199443	SRR23199444	SRR23199445	SRR23199446	SRR23199447	SRR23199448	SRR23199449
15	9	5	1	1	5	3	5	5	0	2	0
725.611	718.425	647.985	784.627	766.796	856.834	968.405	858.578	796.627	1096.69	1187.54	1102.93
742.078	971.136	817.046	609.27	740.042	715.107	739.55	700.885	818.386	647.385	769.08	698.926
199.084	174.837	172.832	187.957	197.879	243.876	304.392	319.9	372.679	359.113	392.794	382.688
637.13	803.388	839.975	1140.21	1192.74	961.044	1496.99	2043.05	1561.53	2576.02	2650.79	2698.19
0	1	0	0	0	0	0	2	3	0	0	0
10.5193	10.564	59	21.1688	0	13.7307	0	26.4814	10.5746	0	0	6.93363
27.4616	18.5309	25.5459	20.4413	14.1243	11.6012	27.056	33.1871	33.2942	17.4396	7.23518	11.6873
15.9114	14.2668	0	0	0	0	2.61921	0	5.15924	0	1	1
0	0	0	0	2.01149	7.12447	0	0	0	7.69198	0	0
0	0	0	0	0	0	0	0	0	0	0	0
35.6207	35.5117	45.8936	24.8335	5.90415	22.1291	87.737	63.4321	69.1605	53.1095	52.2798	27.7533
7.68084	3.46042	9.4476	0	0	0	2.08213	1	1	0	0	0
789.847	760	739.069	913.818	849	878.521	708.963	764	855.263	678	704	703
0	0	0	0	0	0	0	0	0	0	0	0
269.426	303.74	300.697	387.394	303.536	381.123	190.474	200.196	210	239.721	264.942	289.01
569.118	555.105	538.183	846.912	754.066	832.472	727.576	685.283	697.117	603.176	626.089	604.659
3516.63	4089.38	3959.03	2685.13	3429.93	2671.27	5183.59	5017.14	4668.25	7208.73	7407.26	6942.26
219.895	196.018	239.396	246.062	216.606	201.755	252.544	234.268	196.908	245.758	292.471	248.626
369.972	383.592	402.77	353.497	304.882	359.423	421.881	361.327	488.98	357.519	379.047	353.399
0	0	0	0	0	0	0	0	0	0	0	0
108.68	140.173	124.896	96.5947	113.698	113.658	68.9773	50.535	69.4283	42.6789	45.7193	46.7464
1022.71	852.691	868.081	1097.48	1066.66	1164.92	814.601	715.826	784.897	828.668	928.064	829.342
92.0149	67.8847	90.3706	89.8992	134.406	80.7406	72.8263	58.2397	45.0309	73.3039	60.7361	53.2954
0	0	1	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
814.836	925.979	967.658	1084.26	1159.37	1023.54	1159.09	1140.28	1230.44	1197.72	1143.79	1060.86
5.61016	5.01518	7.16825	0	0.52559	0	0	0	5.054	0	1.03006	1.76969
562.858	433.634	493.59	583.463	407.109	518.545	314.49	353.869	434.247	339.031	252.411	344.395
0	1	0	0	0	0	0	2.60705	5.75249	0	3	0
0	1	1	0	0	0	0	0	0	0	0	0
0	0	5.70848	0	0	0	3.34462	0	0	0	0	0
559.567	521.924	598.85	471.74	463.693	570.453	681.645	640.301	737.055	819.698	845.333	789.361
